id,university_name,university_type,website,country_id
64,"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga",State Public University,www.ksdsu.edu.in,99
65,"Lalit Narayan Mithila University, Darbhanga",State Public University,www.lnmu.in,99
66,"Magadh University, Bodh Gaya",State Public University,www.magadhuniversity.ac.in,99
67,"Maulana Mazharul Haque Arabic & Persian University, Patna",State Public University,www.mmhapu.bih.nic.in,99
68,"Nalanda Open University, Patna",State Open University,www.nalandaopenuniversity.com,99
69,Nalanda University,Central University,naladauniv.edu.in,99
70,"National Institute Of Technology, Patna",Institute of National Importance,www.nitp.ac.in,99
71,"Nava Nalanda Mahavihara, Nalanda",Deemed University-Government,www.nnm.ac.in,99
72,"Patna University, Patna",State Public University,patnauniversity.ac.in,99
73,"Rajendra Agricultural University, Samastipur",State Public University,www.pusavarsity.org.jn,99
74,"T.M. Bhagalpur University, Bhagalpur",State Public University,www.tmbu.org,99
75,"Veer Kunwar Singh University, Arrah",State Public University,www.vksu.ac.in,99
76,"Panjab University,Chandigarh",State Public University,www.puchd.ac.in,99
77,"Pec University Of Technology, Chandigarh",Deemed University-Government,www.pec.ac.in,99
78,Post Graduate Institute Of Medical Sciences,Institute of National Importance,pgimer.edu.in,99
79,"All India Institute Of Medical Sciences, Raipur",Institute of National Importance,www.aiimsraipur.edu.in,99
80,"Amity University, Raipur",State Private University,,99
81,"Ayush And Health Science University Of Chattisgarh, Raipur",State Public University,http:/www.cghealthuniv.com,99
82,"Bastar Vishwavidyalaya, Bastar",State Public University,www.bvvjdp.ac.in,99
83,Bilaspur Vishwavidyalaya,State Public University,http://www.bilaspuruniversity.ac.in,99
84,Chhattisgarh Kamdhenu Vishwavidalaya,State Public University,www.cgkv.ac.in,99
85,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",State Public University,csvtu.ac.in,99
86,"Dr. C. V. Raman University, Kota Bilaspur",State Private University,www.cvru.ac.in,99
87,"Guru Ghasidas Vishwavidyalaya, Bilaspur",Central University,www.ggu.ac.in,99
88,"Hidayatullah National Law University, Raipur",State Public University,www.hnlu.ac.in,99
89,Icfai University,State Private University,www.iuraipur.edu.in,99
90,"Indira Gandhi Krishi Vishwavidyalaya, Raipur",State Public University,"igau.edu.in, igau.nic.in",99
91,"Indira Kala Sangit Vishwavidyalaya, Khairagarh",State Public University,http//www.iksvv.com,99
92,Itm University,State Private University,www.itmuniversity.org,99
93,"Kalinga University, Raipur",State Private University,www.kalingauniversity.ac.in,99
94,"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur",State Public University,ktujm.ac.in,99
95,"Maharishi University Of Management And Technology, Bilaspur",State Private University,www.mumt.com,99
96,"Mats University, Raipur",State Private University,www.matsuniversity.ac.in,99
97,"National Institute Of Technology, Raipur",Institute of National Importance,nitrr.ac.in,99
98,"Pt. Ravishankar Shukla University, Raipur",State Public University,www.prsu.ac.in,99
99,"Pt. Sundarlal Sharma (Open) University, Bilaspur",State Open University,www.pssou.ac.in,99
100,"Sarguja University, Ambikapur",State Public University,www.sargujauniversity.in,99
101,All India Institute Of Medical Sciences,Institute of National Importance,"wwww.aiims.edu, www.aiims.ac.in",99
102,Bharat Ratana Dr. B. R. Ambedkar University,State Public University,www.aud.ac.in,99
103,Delhi Technological University,State Public University,www.dce.edu,99
104,Guru Gobind Singh Indraprastha University,State Public University,www.ipu.ac.in,99
105,Indian Agricultural Research Institute (Krishi Pusha) New Delhi.,Deemed University-Government,www.iari.res.in,99
106,"Indian Institute Of Foreign Trade, Delhi",Deemed University-Government,www.iift.edu,99
107,"Indian Institute Of Technology, Delhi",Institute of National Importance,www.iitd.ac.in,99
108,"Indian Law Institute, Bhagwandas Road, New Delhi",Deemed University-Government Aided,www.ili.ac.in,99
109,Indira Gandhi Delhi Technical University For Women,State Public University,www.igit.ac.in,99
110,Indira Gandhi National Open University,Central Open University,www.igNo(0)u.ac.in,99
111,"Indraprastha Institute Of Information Technology, Delhi",State Public University,www.iiitd.ac.in,99
112,"Institute Of Liver And Bilary Sciences, New Delhi",Deemed University-Government,www.ilbs.in,99
113,Jamia Hamdard,Deemed University-Government Aided,www.jamiahamdard.edu,99
114,Jamia Millia Islamia University,Central University,http://jmi.ac.in,99
115,Jawahar Lal Nehru University,Central University,www.jnu.ac.in,99
116,"National Institute Of Fashion Technology, Hauz Khas",Others,www.nift.ac.in,99
117,National Institute Of Technology Delhi,Institute of National Importance,www.nitdelhi.ac.in,99
118,"National Law University, Delhi",State Public University,www.nludelhi.ac.in,99
119,National Museum Institute Of Hisotry Of Art Conservation And Musicology,Deemed University-Government,www.nmi.gov.in,99
120,"National School Of Drama, New Delhi",Deemed University-Government,,99
121,"National University Of Education, Planning & Administration, New Delhi",Deemed University-Government,www.nuepa.org,99
122,"Rashtriya Sanskrit Sansthan, New Delhi",Deemed University-Government,www.sanskrit.nic.in/,99
123,"School Of Planning & Architecture, New Delhi",Deemed University-Government,www.spa.ac.in,99
124,"Shri Lal Bhadur Shashtri Rashtriya Sanskrit Vidyapith, New Delhi",Deemed University-Government,http://www.slbsrsv.ac.in,99
125,"South Asian University, New Delhi",Central University,http://www.southasianuniversity.org,99
126,"Teri School Of Advanced Studies, New Delhi",Deemed University-Private,www.teriuniversity.ac.in,99
127,University Of Delhi,Central University,www.du.ac.in,99
128,"Goa University, Goa",State Public University,www.unigoa.ac.in,99
129,National Institute Of Technology Goa,Institute of National Importance,http://www.nitgoa.ac.in/,99
130,Ahmedabad University,State Private University,www.ahduni.edu.in,99
131,"Anand Agricultural University, Anand",State Public University,www.aau.in,99
132,"C.U.Shah University, Surendranagar",State Private University,www.cushahuniversity.ac.in,99
133,"Carlox Teacher's University, Ahmedabad",State Private University,www.ctu.calorx.org,99
134,"Central Univeristy Of Gujarat, Gandhinagar",Central University,www.cug.ac.in,99
135,"Centre For Environmental Planning And Technology University, Ahmedabad",State Public University,www.cept.ac.in,99
136,"Charotar University Of Science & Technology, Anand",State Private University,www.charusat.ac.in,99
137,"Children University, Gandhinagar",State Public University,www.cugujarat.ac.in,99
138,"Dharmsinh Desai Univeristy, Nadiad",State Public University,http://www.ddu.ac.in,99
139,"Dhirubhai Ambani Institute Of Information & Communication Technology, Gandhi Nagar",State Private University,www.daiict.ac.in,99
140,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",State Open University,http://www.baou.edu.in/,99
141,G S F C University,State Private University,,99
142,"Ganpat University, Ganpat Vidyanagar, Kherva",State Private University,www.ganpatuniversity.ac.in,99
143,"Gujarat Ayurveda University, Jamnagar",State Public University,www.ayurveduniversity.edu.in,99
144,Gujarat Forensic Sciences University,State Public University,www.gfsu.edu.in,99
145,"Gujarat National Law University, Gandhinagar",State Public University,www.gnlu.ac.in,99
146,"Gujarat Technological University, Ahmedbabd",State Public University,www.gtu.ac.in,99
147,"Gujarat University, Ahmedabad",State Public University,www.gujaratuniversity.org.in,99
148,"Gujarat Vidyapith, Ahmedabad",Deemed University-Government Aided,www.gujaratvidyapith.org,99
149,"Hemchandracharya North Gujart University, Patan",State Public University,www.ngu.ac.in,99
150,"Indian Institute Of Teacher Education, Gandhinagar",State Public University,www.iite.ac.in,99
151,"Indian Institute Of Technology, Gandhinagar",Institute of National Importance,www.iitgn.ac.in,99
152,Indus University,State Private University,www.indusuni.ac.in,99
153,"Itm Vocational University, Vadodara",State Private University,www.itm.ac.in,99
154,Junagadh Agricultural University,State Public University,jau.in,99
155,"Kadi Sarva Vishwavidyalaya, Gandihnagar",State Private University,www.ksvuniversity.org.in,99
156,"Kamdhenu University, Gandhinagar",State Public University,www.kamdhenuuniversity.in,99
157,"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh",State Public University,kskvku.digitaluniversity.ac,99
158,"Lakulish Yoga University, Ahmedabad",State Private University,lyu.ac.in,99
159,Maharaja Krishnakumarsinhji Bhavnagar University,State Public University,http://www.mkbhavuni.edu.in,99
160,"Maharaja Sayajirao University Of Baroda, Vadodara",State Public University,msubaroda.ac.in,99
161,Navrachana University,State Private University,www.nuv.ac.in,99
162,Navsari Agricultural University,State Public University,www.nau.in,99
163,"Nirma University, Ahmedabad",State Private University,www.nirmauni.ac.in,99
164,"Pandit Deendayal Petroleum University, Gandhi Nagar",State Private University,www.pdpu.ac.in,99
165,"R K University, Rajkot",State Private University,http://www.rku.ac.in,99
166,"Rakshashakti University, Gujarat",State Public University,www.rakshashaktiuniversity.edu.in,99
167,"Sardar Patel University, Vallabh Vidyanagar",State Public University,http://www.spuvvn.edu,99
168,"Sardar Vallabhbhai National Institute Of Technology, Surat",Institute of National Importance,http://www.svnit.ac.in,99
169,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University,www.sdau.edu.in,99
170,"Saurashtra University, Rajkot",State Public University,www.saurashtrauniversity.edu,99
171,"Shree Somnath Sanskrit University, Junagarh",State Public University,www.shreesomnathsanskrituniversity.info,99
172,"Sumandeep Vidyapeeth, Vadodara",Deemed University-Private,www.sumandeepuniversity.co.in,99
173,Swarnim Gujarat Sports University,State Public University,www.sgsu.edu.in,99
174,"Uka Tarsadia University, Surat",State Private University,www.utu.ac.in,99
175,"Veer Narmad South Gujarat University, Surat",State Public University,www.vnsgu.ac.in,99
176,"Amity University Haryana, Gurgaon",State Private University,www.amity.edu/gurgaon,99
177,Ansal University,State Private University,ansaluniversity.edu.in,99
178,"Apeejay Stya University, Sohna",State Private University,www.university.apeejay.edu,99
179,Ashoka University,State Private University,,99
180,Baba Mastnath University,State Private University,www.babamastnathuniversity.com,99
181,"Bhagat Phool Singh Mahila University, Khanpur Kalan, Sonipat",State Public University,www.bpswomenuniversity.ac.in,99
182,Bml Munjal University,State Private University,www.bml.edu.in,99
183,"Central University Of Haryana, Mahendergarh",Central University,www.cuh.ac.in,99
184,"Ch. Devi Lal University, Sirsa",State Public University,www.cdlu.ac.in,99
185,"Chaudhary Charan Singh Haryana Agricultural University, Hisar",State Public University,http//www.hau.ernet.in,99
186,"Chaudhary Ranbir Singh University, Jind",State Public University,www.crsujind.org,99
187,"Deenbandhu Chhotu Ram University Of Science & Technology, Murthal(Sonepat)",State Public University,"dcrustm.org, dcrustm.ac.in",99
188,G.D. Goenka University,State Private University,,99
189,"Guru Jambheshwar University Of Science And Technology, Hissar",State Public University,www.gjust.ac.in,99
190,"Indira Gandhi University, Meerpur",State Public University,www.igu.ac.in,99
191,"Itm University, Gurgaon",State Private University,www.itmindia.edu,99
192,"Jagan Nath University, Jhajjar",State Private University,,99
193,"K.R. Mangalam University, Gurgaon",State Private University,www.krmangalam.edu.in,99
194,"Kurukshetra University, Kurukshetra",State Public University,www.kuk.ac.in,99
195,Lala Lajpat Rai University Of Veterinary And Animal Sciences,State Public University,www.luvas.edu.in,99
196,"Lingaya's University, Faridabad",Deemed University-Private,www.lingayasuniversity.edu.in,99
197,"M V N University, Palwal",State Private University,,99
198,"Maharashi Markendeshwar University, Sadopur-Ambala",State Private University,www.mmambala.org,99
199,"Maharishi Markandeshwar University, Mullana-Ambala",Deemed University-Private,www. mmumullana.org,99
200,"Maharshi Dayanand University, Rohtak",State Public University,www.mdurohtak.ac.in,99
201,"Manav Rachna International University, Faridabad",Deemed University-Private,www.mriu.edu.in,99
202,"National Brain Research Centre, Gurgaon",Deemed University-Government,http://www.nbrc.ac.in,99
203,"National Dairy Research Institute, Karnal",Deemed University-Government,ndri.res.in,99
204,"National Institute Of Technology, Kurukshetra",Institute of National Importance,www.nitkkr.ac.in,99
205,Niilm University,State Private University,www.niilmuniversity.in,99
206,"O. P. Jindal Global University, Sonipat",State Private University,www.jgu.edu.in,99
207,Pt. Bhagwat Dayal Sharma University Of Health Sciences,State Public University,www.uhsr.ac.in,99
208,"Shree Guru Gobind Singh Tricentenary University, Gurgaon",State Private University,www.sgtuniversity.org,99
209,"Srm University, Sonepat",State Private University,www.srmuniversity.ac.in,99
210,State University Of Performing And Visual Arts,State Public University,,99
211,Ymca University Of Science & Technology,State Public University,www.ymcaust.ac.in,99
212,Abhilashi University,State Private University,,99
213,Apg (Alakh Prakash Goyal) Shimla University,State Private University,apg.edu.in,99
214,"Arni University, Katgarh (Indora), Kangra",State Private University,www.arni.in,99
215,"Baddi University Of Emerging Sciences And Technology, Budha (Makhnumajra), Solan",State Private University,www.baddiuniv.ac.in,99
216,"Bahra University, Solan",State Private University,www.bahrauniversity.edu.in,99
217,"Career Point University, Hamirpur",State Private University,www.cpuh.in,99
218,"Central University Of Himachal Pradesh, Dharmshala, Kangra",Central University,www.cuhimachal.ac.in,99
219,"Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya, Palampur",State Public University,http://www.hillagric.ac.in,99
220,"Chitkara University, Kalu Jhanda (Barotiwala), Solan",State Private University,www.chitkarauniversity.edu.in,99
221,"Dr. Y.S. Parmar University Of Horticulture And Forestry, Solan",State Public University,www.yspuniversity.ac.in,99
222,"Eternal University, Baru Sahib Sirmour",State Private University,www.eternaluniversity.edu.in,99
223,"Himachal Pradesh Technical University, Hamirpur",State Public University,www.himtu.ac.in,99
224,"Himachal Pradesh University , Shimla",State Public University,www.hpuniv.nic.in,99
225,Iec (India Education Centre) University,State Private University,www.iecuniversity.com,99
226,"Indian Institute Of Technology, Mandi",Institute of National Importance,www.iitmandi.ac.in,99
227,"Indus International University, Bathu, Una",State Private University,www.iiuedu.in,99
228,"Institute Of Chartered Financial Analysts Of India University, Solan",State Private University,www.iuhimachal.edu.in,99
229,"Jaypee University Of Information Technology, Waknaghat, Solan",State Private University,www.juit.ac.in,99
230,Maharaja Agrasen University,State Private University,www.mau.ac.in,99
231,"Maharashi Markandeshwar University, Solan",State Private University,www.mmusolan.org,99
232,"Manav Bharti University, Sultanpur, Solan",State Private University,www.manavbhartiuniversity.edu.in,99
233,"National Institute Of Technology, Hamirpur",Institute of National Importance,www.nith.ac.in,99
234,"Shoolini University Of Bio Technology And Management Sciences, Oachghat, Solan",State Private University,www.shooliniuniversity.com,99
235,"Sri Sai University, Palampur",State Private University,www.srisaiuniversity.com,99
236,"Birla Institute Of Technology, Ranchi",Deemed University-Private,www.bitmesra.ac.in,99
237,"Birsa Agricultural University, Ranchi",State Public University,http://www.bauranchi.org,99
238,"Central University Of Jharkhand, Ranchi",Central University,www.cuj.ac.in,99
239,"Indian School Of Mines, Dhanbad",Deemed University-Government,http://www.ismdhanbad.ac.in,99
240,Jharkhand Rai University,State Private University,,99
241,"Kolhan University, West Singhbhum",State Public University,www.kolhanuniversity.ac.in,99
242,"National Institute Of Technology, Jamshedpur",Institute of National Importance,www.nitjsr.ac.in,99
243,"National University Of Study & Research In Law, Ranchi",State Public University,www.nusrlranchi.com,99
244,"Nilamber-Pitamber University, Palamu",State Public University,www.npu.ac.in,99
245,"Ranchi University, Ranchi",State Public University,http://www.ranchiuniversity.ac.in,99
246,"Sido Kanhu Murmu University, Dumka",State Public University,www.skmu.org.in,99
247,"The Institute Of Chartered Financial Ayalysts Of India University, Ranchi",State Private University,www.iujharkhand.edu.in,99
248,"Vinoba Bhave University, Hazaribagh",State Public University,www.vbu.co.in,99
249,"Baba Ghulam Shah Badshah University, Jammu",State Public University,www.bgsbuniversity.org,99
250,Central University Of Jammu,Central University,http://www.cujammu.ac.in,99
251,"Central University Of Kashmir, Srinagar",Central University,www.cukashmir.ac.in,99
252,"Islamic University Of Science & Technology, Pulwama",State Public University,www.islamicuniversity.edu.in,99
253,"National Institute Of Technology, Srinagar",Institute of National Importance,www.nitsri.net,99
254,"Sher-E-Kashmir Institute Of Medical Sciences, Srinagar",Institute under State Legislature Act,http://skims.ac.in,99
255,"Sher-E-Kashmir University Of Agricultural Science & Technology Of Jammu, Jammu",State Public University,www.skuast.org,99
256,"Sher-E-Kashmir University Of Agricultural Science & Technology Of Kashmir, Srinagar",State Public University,www.skuastkashmir.ac.in,99
257,"Shri Mata Vaishno Devi University, Jammu",State Public University,http://smvdu.net.in,99
258,"University Of Jammu, Jammu Tawi",State Public University,www.jammuuniversity.in,99
259,"University Of Kashmir, Srinagar",State Public University,www.kashmiruniversity.net,99
260,Alliance University. Bangalore,State Private University,www.alliance.edu.in,99
261,"Azim Premji University, Bangalore",State Private University,www.azimpremjiuniversity.edu.in,99
262,"B.L.D.E. University, Bijapur",Deemed University-Private,www.bldeuniversity.org,99
263,"Bangalore University, Bangalore",State Public University,www.bangaloreuniversity.ac.in,99
264,"Central University Of Karnataka, Gulbarga",Central University,www.cuk.ac.in,99
265,"Christ University, Bangalore",Deemed University-Private,http://www.christuniversity.in,99
266,"Cmr University, Bangalore",State Private University,www.cmr.edu.in,99
267,"Davangere University, Davangere",State Public University,www.davangereuniversity.ac.in,99
268,"Gulbarga University, Gulbarga",State Public University,http://www.gulbargauniversity.kar.nic.in,99
269,"Indian Institute Of Science, Bangalore",Deemed University-Government,http://www.iisc.ernet.in,99
270,"International Institute Of Information Technology, Bangalore",Deemed University-Government,www.iiitb.ac.in,99
271,"Jagadguru Sri Shivarathreeswara University, Mysore",Deemed University-Private,www.jssuni.edu.in,99
272,"Jain University,Bangalore",Deemed University-Private,www.jainuniversity.ac.in,99
273,"Jawaharlal Nehru Centre For Advanced Scientific Research, Banaglore",Deemed University-Government,www.jncasr.ac.in,99
274,"K.L.E. Academy Of Higher Education And Research, Belgaum",Deemed University-Private,www.kleuniversity.edu.in,99
275,"Kannada University, Hampi, Kamalapura",State Public University,www.kannadauniversity.org,99
276,"Karnataka Janapada Vishwavidyalaya, Gotagodi",State Public University,www.Janapadauni.in,99
277,Karnataka Sanskrit University,State Public University,www.ksu.ac.in,99
278,Karnataka State Dr. Gangubai Hangal Music And Performing Arts University,State Public University,www.musicuniversity.ac.in,99
279,"Karnataka State Law University, Hubli",State Public University,www.kslu.ac.in,99
280,"Karnataka State Open University, Mysore",State Open University,www.ksoumysore.edu.in,99
281,"Karnataka State Women University, Bijapur",State Public University,www.kswub.ac.in,99
282,"Karnataka University, Dharwad",State Public University,www.kud.ac.in,99
283,"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar",State Public University,www.kvafsu.kar.nic.in,99
284,"Kuvempu University, Shankaraghatta, Shimoga",State Public University,www.kuvempu.ac.in,99
285,"M.S. Ramaiah University Of Applied Sciences, Bangalore",State Private University,www.msruas.ac.in,99
286,"Mangalore University, Mangalore",State Public University,www.mangaloreuniversity.ac.in,99
287,"Manipal Academy Of Higher Education, Manipal",Deemed University-Private,www.manipal.edu,99
288,"Mysore University, Mysore",State Public University,www.uni-mysore.ac.in,99
289,"National Institute Of Mental Health & Neuro Sciences, Bangalore",Deemed University-Government,kttp://www.nimhans.kar.nic.in,99
290,"National Institute Of Technology, Karnataka",Institute of National Importance,http://www.nitk.ac.in,99
291,"National Law School Of India University, Bangalore",State Public University,www.nls.ac.in,99
292,"Nitte Unversity, Mangalore",Deemed University-Private,www.nitte.edu.in,99
293,"Pes University, Banglore",State Private University,,99
294,"Rai Technology University, Bangalore",State Private University,,99
295,"Rajiv Gandhi University Of Health Sciences, Bangalore",State Public University,www.rguhs.ac.in,99
297,"Reva University, Bangalore",State Private University,www.reva.edu.in,99
298,"Sri Devraj Urs Acaedmy Of Highehr Education And Research, Kolar",Deemed University-Private,www.sduu.ac.in,99
299,Sri Siddharatha Acedemy Of Higher Education,Deemed University-Private,www.sahetumkur.ac.in,99
300,"Swami Vivekananda Yoga Anusandhana Samsthan, Bangalore",Deemed University-Private,www.svyasa.edu.in,99
301,The Institute Of Trans-Disciplinary Health Sciences And Technology,State Private University,tdu.edu.in,99
302,"Tumkur University, Tumkur",State Public University,www.tumkuruniversity.ac.in,99
303,"University Of Agricultural And Horticultural Sciences, Shimoga",State Public University,www.uahs.in,99
304,"University Of Agricultural Sciences, Bangalore",State Public University,www.uasbangalore.edu.in,99
305,"University Of Agricultural Sciences, Dharwad",State Public University,WWW.UASD.EDU,99
306,"University Of Agricultural Sciences, Raichur",State Public University,www.uasraichur.edu.in,99
307,"University Of Horticultural Sciences, Bagalkot",State Public University,http://www.uhsbagalkot.edu.in,99
308,"Vesveswaraiah Technological University, Belgaum",State Public University,www.vtu.ac.in,99
309,"Vijayanagara Sri Krishnadevaraya University, Bellary",State Public University,www.vskub.ac.in,99
310,"Yenepoya University, Mangalore",Deemed University-Private,www.yenepoya.edu.in,99
311,"Calicut University, Thenhipalem, Malapuram",State Public University,http//www.university of calicut.info,99
312,"Central Univeristy Of Kerala, Trivandrum",Central University,www.cukerala.ac.in,99
313,"Cochin University Of Science & Technology, Kochi",State Public University,www.cusat.ac.in,99
314,"Indian Institute Of Science Education & Research (Iiser), Thiruvananthapuram",Institute of National Importance,http://www.iisertvm.ac.in,99
315,"Indian Institute Of Space Science And Technology, Thiruvananthapuram",Deemed University-Government,www.iist.ac.in,99
316,"Kannur University, Kannur",State Public University,www.kannuruniversity.ac.in,99
317,"Kerala Agricultural University, Thrissur",State Public University,www.kau.edu,99
318,"Kerala Kalamandalam, Thrissur",Deemed University-Government,www.kalamandalam.org,99
319,"Kerala University Of Fisheries & Ocean Studies, Kochi",State Public University,www.kufos.ac.in,99
320,Kerala University Of Health And Allied Sciences,State Public University,http://kuhs.ac.in,99
321,"Kerala University, Thiruvananthapuram",State Public University,www.keralauniversity.ac.in,99
322,"Kerala Veterinary & Animal Science University, Wayanad",State Public University,www.kvasu.ac.in,99
323,"Mahatma Gandhi University, Kottayam",State Public University,www.mgu.ac.in,99
324,"National Institute Of Technology, Calicut",Institute of National Importance,http://www.nitc.ac.in/,99
325,"National University Of Advanced Legal Studies, Kochi",State Public University,www.nuals.ac.in,99
326,"Shree Sankaracharya Univeristy Of Sanskrit, Kalady",State Public University,ssus.ac.in,99
327,"Sree Chitra Tirunal Institute For Medical Sciences And Technology, Thiruvananthapuram",Institute of National Importance,www.sctimst.ac.in,99
328,"Thunchath Ezhuthachan Malayalam University, Tirur",State Public University,,99
329,Aisect University,State Private University,www.aisectuniversity.ac.in,99
330,"Aks University, Satna",State Private University,www.aksuniversity.ac.in,99
331,"All India Institute Of Medical Sciences, Bhopal",Institute of National Importance,,99
332,"Amity University, Gwalior",State Private University,www.amity.edu/gwalior,99
333,Atal Bihari Vajpayee Hindi Vishwavidyalaya,State Public University,www.abvhv.org,99
334,"Atal Bihari Vajpayee Indian Institute Of Information Technology And Management, Gwalior",Deemed University-Government,www.iiitm.ac.in,99
335,"Awadesh Pratap Singh University, Rewa",State Public University,www.apsurewa.ac.in,99
336,"Barkatullah University, Bhopal",State Public University,www.bubhopal.nic.in,99
337,"Devi Ahilya Vishwavidyalaya, Indore",State Public University,www.dauniv.ac.in,99
338,"Dr. Harisingh Gaur Vishwavidyalaya, Sagar",Central University,www.dhsgsu.ac.in,99
339,"Indian Institute Of Science Education & Research (Iiser), Bhopal",Institute of National Importance,www.iiserb.ac.in,99
340,"Indian Institute Of Technology, Indore",Institute of National Importance,www.iiti.ac.in,99
341,"Indira Gandhi National Tribal University, Amarkantak",Central University,www.igntu.ac.in,99
342,"Itm University, Gwalior",State Private University,www.itmuniversity.ac.in,99
343,"Jagran Lakecity University, Bhopal",State Private University,www.jlu.edu.in,99
344,"Jawaharlal Nehru Krishi Vishwavidyalaya, Jabalpur",State Public University,www.jnkvv.nic.in,99
345,"Jaypee University Of Engeenering & Technology, Guna",State Private University,www.juet.ac.in,99
346,"Jiwaji University, Gwalior",State Public University,www.jiwaji.edu,99
347,"Lakshmibai National Institute Of Physical Education, Gwalior",Deemed University-Government,www.lnipe.gov.in,99
348,"M.P. Bhoj (Open) University, Bhopal",State Open University,www.bhojvirtualuniversity.com,99
349,"Maharishi Mahesh Yogi Vedic Vishwavidyalaya, Jabalpur",State Public University,www.mmyvv.com,99
350,"Maharishi Panini Sanskrit Vishwavidyalaya, Ujjain",State Public University,www.mpsvvujjain.org,99
351,"Mahatama Gandhi Gramodaya Vishwavidyalaya, Chitrakoot, Satna",State Public University,www.mgcgvchitrakoot.com,99
352,"Makhanlal Chaturvedi National University Of Journalism And Communication, Bhopal",State Public University,www.mcu.ac.in,99
353,"Maulana Azad National Institute Of Technology, Bhopal",Institute of National Importance,www.manit.ac.in,99
354,"Nanaji Deshmukh Pashu Chikitsa Vigyan Vishwavidalaya, Jabalpur",State Public University,,99
355,"National Law Institute University, Bhopal",State Public University,www.nliu.ac.in,99
356,Oriental University,State Private University,www.orientaluniversity.in,99
357,"Pandhi Dwarka Prasad Mishra Indian Institute Of Information Technology & Manufacturing , Jabalpur",Deemed University-Government,www.iiitdmj.ac.in,99
358,Peoples University,State Private University,www.peoplesuniversity.edu.in,99
359,"Raja Mansingh Tomar Music & Arts University, Gwalior",State Public University,www.rmtmusicandartsuniversity.com,99
360,"Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal",State Public University,www.rgpv.ac.in,99
361,"Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya, Gwalior",State Public University,http://www.rvskvv.net,99
362,"Rani Durgavati Vishwavidyalaya, Jabalpur",State Public University,www.rdunijbpin.nic.in,99
363,Rkdf University,State Private University,www.rkdf.ac.in,99
364,Sarvepalli Radhakrishnan University,State Private University,,99
365,School Of Planning & Architecture Bhopal,Others,www.spabhopal.ac.in,99
366,"Sri Satya Sai University Of Technology & Medical Sciences, Sehore",State Private University,www.sssutms.co.in,99
367,Swami Vivekananda University,State Private University,www.svnuniversity.co.in,99
368,"Techno Global University, Sirong",State Private University,,99
369,"Vikram University, Ujjain",State Public University,www.vikramuniv.net,99
370,"Bharati Vidyapeeth, Pune",Deemed University-Private,www.bvuniversity.edu.in,99
371,"Central Institute Of Fisheries Education, Fishries University, Mumbai",Deemed University-Government,http://www.cife.edu.in,99
372,"D.Y. Patil Educational Society , Kolhapur",Deemed University-Private,www.dypatilunikop.org,99
373,"Datta Meghe Institute Of Medical Sciences, Nagpur",Deemed University-Private,www.dmimsu.edu.in,99
374,"Deccan College Postgraduate & Research Institute, Pune",Deemed University-Private,www.deccancollegepune.org,99
375,"Defence Institute Of Advanced Technology, Girinagar, Pune",Deemed University-Government,www.diat.ac.in,99
376,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",State Public University,www.bamu.ac.in,99
377,"Dr. Babasaheb Ambedkar Technological University, Lonere",State Public University,www.dbatu.ac.in,99
378,"Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth,(Former Konkan Krishi Vidyapeeth) Ratnagiri",State Public University,www.dbskkv.org,99
379,"Dr. D.Y.Patil Vidyapeeth, Pune",Deemed University-Private,www.dpu.edu.in,99
380,"Dr. Punjarao Deshmukh Krishi Vidyapeeth, Akola",State Public University,www.pdkv.ac.in,99
381,"Gokhale Institute Of Politics & Economics, Pune",Deemed University-Government Aided,www.gipe.ac.in,99
382,"Gondwana University, Gadchiroli",State Public University,gondwanauniversity.org,99
383,"Homi Bhabha Natioanal Institute Knowledge Management Group, Mumbai",Deemed University-Government,www.hbni.ac.in,99
384,"Indian Institute Of Science Education & Research (Iiser), Pune,",Institute of National Importance,www.iiserpune.ac.in,99
385,"Indian Institute Of Technology, Mumbai",Institute of National Importance,www.iitb.ac.in,99
386,"Indira Gandhi Institute Of Development Research, Mumbai",Deemed University-Government,www.postmaster@igidr.ac.in,99
387,"Institute Of Chemical Technology, Mumbai",Deemed University-Government,www.ictmumbai.edu.in,99
388,"International Institute For Population Sciences, Mumbai",Deemed University-Government,www.iipsindia.org,99
389,"Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya, Ramtek",State Public University,www.kksanskrituni.digitaluniversity.ac,99
390,"Krishna Institute Of Medical Sciences Deemed University, Karad",Deemed University-Private,www.kimsuniversity.in,99
391,"Maharashtra Animal & Fishery Sciences University, Nagpur",State Public University,www.mafsu.in,99
392,"Maharashtra University Of Health Sciences, Nashik",State Public University,www.muhs.ac.in,99
